year cost
     1991.00  13824417.28
     1991.00   4480277.30
     1991.00  16264020.32
     1991.00  16546339.17
     1991.00   5216761.24
     1991.00   4903755.56
     1991.00  37934293.06
     1991.00   2148078.16
     1991.00   2378229.39
     1991.00   5063327.08
     1991.00   3774480.19
     1991.00  41032742.37
     1991.00  49069776.79
     1991.00 138995846.67
     1991.00   7748424.78
     1991.00   1672432.28
     1991.00  14834781.18
     1991.00   2391578.16
     1991.00   1749149.36
     1991.00   1591112.18
     1991.00   5155387.57
     1991.00   2602665.20
     1991.00  22953749.44
     1991.00   3858715.54
     1991.00  24557136.35
     1991.00   4296156.31
     1991.00  29666493.68
     1991.00  12978995.09
     1991.00   2816897.63
     1991.00    905261.51
     1991.00   4633711.45
     1991.00  51299788.78
     1991.00 138995693.24
     1991.00  17077221.34
     1991.00   1196786.40
     1991.00  15542879.80
     1991.00   4679741.70
     1991.00    398928.80
     1991.00  13318084.57
     1991.00   9514912.19
     1991.00   8285444.32
     1991.00   9565392.03
     1991.00   8975898.01
     1991.00  10924511.76
     1991.00   5523629.54
     1991.00  48359376.66
     1991.00   5208322.36
     1991.00  14350696.42
     1991.00   1227473.23
     1991.00   1841209.85
     1991.00   4347556.75
     1991.00  46950851.12
     1991.00   1497517.34
     1991.00   7355633.34
     1991.00  12581600.63
     1991.00   1534341.54
     1991.00 105434528.27
     1991.00   7671707.70
     1991.00   4362900.17
     1991.00   7073314.50
     1991.00  24162810.57
     1991.00  10663673.70
     1991.00  46321771.09
     1991.00   2360124.16
     1991.00   5646376.87
     1991.00   9512917.55
     1991.00  25991745.69
     1991.00  12658317.71
     1991.00   2360124.16
     1991.00   4925236.34
     1991.00   4004631.42
     1991.00  19523728.93
     1991.00   4679741.70
     1991.00   1687775.69
     1991.00   2148078.16
     1991.00   9350277.34
     1991.00  26396811.85
     1991.00   5830497.85
     1991.00  11796017.76
     1991.00  27618147.72
     1991.00   1994644.00
     1991.00   1518998.12
     1991.00   3521313.83
     1991.00   3544328.96
     1991.00  14557065.36
     1991.00   4966356.70
     1991.00   9069032.54
     1991.00   1672432.28
     1991.00   7548960.38
     1991.00   7671707.70
     1991.00   8959633.99
     1991.00   3575015.79
     1991.00  10065280.50
     1991.00  42808128.97
     1991.00  18258664.33
     1991.00   3682419.70
     1991.00   1196786.40
     1991.00   6589996.91
     1991.00   8523267.25
     1991.00   3375551.39
     1991.00   6444234.47
     1991.00   2983527.12
     1991.00   9489595.56
     1991.00   5063327.08
     1991.00  15792977.47
     1991.00   1825866.43
     1991.00  13164650.41
     1991.00   1457624.46
     1991.00   5270463.19
     1991.00  21895053.78
     1991.00   5063327.08
     1991.00  18838645.43
     1991.00  14872372.55
     1991.00   6137366.16
     1991.00  15926465.19
     1991.00    398928.80
     1991.00    368241.97
     1991.00  11967864.01
     1991.00  10095967.33
     1991.00    521676.12
     1991.00   2853875.26
     1991.00   4986610.00
     1991.00  17951796.02
     1991.00    460302.46
     1991.00   1595715.20
     1991.00   3544328.96
     1991.00    997322.00
     1991.00   5208337.70
     1991.00    767170.77
     1991.00   7088657.91
     1991.00   3774480.19
     1991.00   2178764.99
     1991.00  34062382.19
     1991.00   6843163.27
     1991.00   5063327.08
     1991.00   6091335.91
     1991.00  16785696.45
     1991.00    521676.12
     1991.00   4649054.87
     1991.00   2991966.00
     1991.00   6643698.87
     1991.00   5830497.85
     1991.00   2869218.68
     1991.00   5983932.01
     1991.00  12010058.40
     1991.00  34875583.20
     1991.00  21779978.16
     1991.00   5209089.53
     1991.00  30686830.80
     1991.00 111331822.14
     1991.00  14539420.43
     1991.00  13502205.55
     1991.00   4449590.47
     1991.00  11057999.48
     1991.00  13072589.92
     1991.00  29842942.95
     1991.00   7291958.17
     1991.00   9221392.66
     1991.00  12781065.03
     1991.00    767170.77
     1991.00   2715784.53
     1991.00   1212129.82
     1991.00   7978576.01
     1991.00   6993528.74
     1991.00   7840485.27
     1991.00   9770686.93
     1991.00   7272778.90
     1991.00  22508790.39
     1991.00   7057971.08
     1991.00  11676339.12
     1991.00  16908443.77
     1991.00  18795683.86
     1991.00  29025292.35
     1991.00   4127378.74
     1991.00   2347542.56
     1991.00  39920498.19
     1991.00   2360124.16
     1991.00   9755496.95
     1991.00   9313453.15
     1991.00   4541650.96
     1991.00   1764492.77
     1991.00  18608494.20
     1991.00   6152709.58
     1991.00  13885790.94
     1991.00  19041178.51
     1991.00   1227473.23
     1991.00   3544328.96
     1991.00  21465438.14
     1991.00  14798724.15
     1991.00   5753780.78
     1991.00   2516320.13
     1991.00  14007003.92
     1991.00   4780658.41
     1991.00   7013782.05
     1991.00   8132010.16
     1991.00  33430233.47
     1991.00  10906559.97
     1991.00  10909168.35
     1991.00   5738437.36
     1991.00   4618368.04
     1991.00    997322.00
     1991.00   8975898.01
     1991.00   8469565.30
     1991.00  34975315.40
     1991.00  14315406.57
     1991.00   3068683.08
     1991.00   7364839.39
     1991.00   5983932.01
     1991.00  39509294.66
     1991.00  17522180.39
     1991.00    905261.51
     1991.00   8975898.01
     1991.00   4871534.39
     1991.00   1687775.69
     1991.00   9314527.19
     1991.00  44848803.21
     1991.00   1313396.36
     1991.00  16142807.34
     1991.00  11185349.83
     1991.00   5430034.71
     1991.00  15024272.36
     1991.00   4649054.87
     1991.00  11993947.82
     1991.00  14438153.89
     1991.00  18857057.53
